,id,region,area_by_m2,width_of_facade,width_of_road,is_legal,price,most_similar
107,107,Đạ Huoai,223,5,5,0,5.22,"[3119, 1786, 4997, 1536, 1071]"
108,108,Đam Rông,84,14,6,1,13.89,"[2652, 1928, 599, 2465, 3627]"
109,109,Đạ Tẻh,128,11,11,0,7.01,"[951, 2531, 1779, 1969, 709]"
110,110,Lâm Hà,147,6,15,1,1.34,"[3103, 3542, 4203, 808, 1731]"
111,111,Đam Rông,213,6,8,1,7.68,"[1345, 3631, 1650, 4605, 2766]"
112,112,Đạ Tẻh,159,6,9,1,0.84,"[136, 2025, 4734, 2588, 1600]"
113,113,Đơn Dương,177,6,7,1,8.5,"[1244, 2198, 640, 2184, 3484]"
114,114,Đà Lạt,171,8,14,1,14.96,"[3150, 4315, 3769, 4738, 1938]"
115,115,Bảo Lộc,67,7,10,1,0.98,"[1292, 2762, 52, 1978, 3552]"
116,116,Đam Rông,108,11,5,1,7.65,"[790, 3833, 2465, 2316, 3587]"
117,117,Bảo Lộc,189,6,11,0,6.12,"[3243, 871, 3462, 1114, 4491]"
118,118,Đà Lạt,243,15,6,0,12.02,"[4085, 1949, 1102, 647, 3553]"
119,119,Bảo Lộc,230,5,7,1,7.64,"[2974, 3952, 894, 3978, 4937]"
120,120,Lạc Dương,119,10,8,0,0.8,"[972, 4077, 2211, 3026, 3898]"
121,121,Bảo Lâm,177,5,6,0,14.94,"[2748, 591, 4804, 4484, 4946]"
122,122,Đạ Huoai,65,14,5,0,5.16,"[1408, 641, 2658, 847, 2254]"
123,123,Di Linh,113,7,11,1,9.87,"[3317, 2548, 4111, 781, 2595]"
124,124,Cát Tiên,210,15,12,0,13.71,"[3178, 3819, 1230, 3176, 2981]"
125,125,Lâm Hà,84,12,7,1,7.87,"[1601, 3730, 529, 3332, 3851]"
126,126,Bảo Lâm,97,8,10,0,5.34,"[3196, 4742, 3459, 4412, 314]"
127,127,Di Linh,215,6,8,1,12.21,"[4497, 589, 1024, 881, 4642]"
128,128,Lạc Dương,208,15,11,0,14.92,"[78, 3043, 4237, 884, 2921]"
129,129,Đơn Dương,130,9,8,1,14.59,"[1281, 1466, 1636, 4214, 4521]"
130,130,Cát Tiên,120,8,11,1,8.58,"[4400, 4921, 982, 4828, 2777]"
131,131,Đam Rông,88,5,6,0,12.56,"[134, 851, 4380, 2470, 2489]"
132,132,Đam Rông,218,8,6,0,10.31,"[2908, 4669, 4342, 145, 4594]"
133,133,Di Linh,221,7,9,0,5.5,"[3416, 2355, 254, 4487, 1050]"
134,134,Đam Rông,55,6,5,0,12.61,"[131, 4380, 2470, 851, 495]"
135,135,Đam Rông,141,8,15,1,8.25,"[2646, 2453, 1389, 50, 4986]"
136,136,Đạ Tẻh,199,5,8,1,1.55,"[2025, 112, 1600, 1229, 3984]"
137,137,Đam Rông,213,6,13,0,13.7,"[2750, 3619, 4836, 532, 2245]"
138,138,Đức Trọng,169,5,10,1,8.74,"[2568, 4563, 3301, 3213, 3815]"
139,139,Bảo Lâm,179,5,11,0,7.26,"[3107, 3009, 2553, 3293, 1911]"
140,140,Đơn Dương,149,15,11,0,9.05,"[3284, 62, 436, 4837, 334]"
141,141,Đạ Huoai,140,15,13,1,12.08,"[1059, 4442, 6, 4975, 95]"
142,142,Đạ Tẻh,249,5,7,1,9.83,"[666, 2240, 1957, 1395, 4396]"
143,143,Đà Lạt,65,8,12,1,1.2,"[1751, 893, 389, 4659, 4512]"
144,144,Đam Rông,191,10,14,1,8.23,"[2898, 1649, 2269, 4832, 3368]"
145,145,Đam Rông,221,8,8,0,11.5,"[4669, 132, 4342, 2779, 1456]"
146,146,Đạ Tẻh,162,6,14,1,12.08,"[3365, 835, 2897, 4097, 4050]"
147,147,Đà Lạt,76,7,13,0,8.62,"[2113, 4994, 944, 1645, 1950]"
148,148,Lâm Hà,195,9,14,0,6.23,"[3606, 4635, 4429, 1061, 3856]"
149,149,Đạ Tẻh,96,13,11,0,13.34,"[3394, 2430, 2807, 1510, 3935]"
150,150,Lâm Hà,221,6,11,1,14.82,"[700, 2415, 418, 97, 494]"
151,151,Lâm Hà,223,8,14,0,11.43,"[3843, 2549, 878, 3226, 4023]"
152,152,Lạc Dương,88,5,15,1,1.91,"[2637, 212, 453, 1491, 208]"
153,153,Lâm Hà,215,9,13,1,5.43,"[1371, 3985, 3084, 3842, 4011]"
154,154,Cát Tiên,95,6,8,1,7.84,"[1130, 4923, 2587, 3389, 2370]"
155,155,Đơn Dương,123,11,8,0,13.91,"[3148, 1044, 4544, 2432, 3256]"
156,156,Bảo Lộc,229,11,13,0,10.92,"[1555, 4276, 1776, 284, 1481]"
157,157,Bảo Lâm,59,14,9,0,10.58,"[1451, 2515, 257, 1707, 3635]"
158,158,Bảo Lâm,236,7,5,1,14.53,"[3287, 1342, 4760, 3965, 4434]"
159,159,Đam Rông,67,12,10,0,13.62,"[2796, 240, 2923, 4533, 1218]"
160,160,Bảo Lâm,199,15,12,1,2.45,"[4513, 1123, 3776, 1501, 378]"
161,161,Đà Lạt,116,13,7,1,11.39,"[1187, 3233, 984, 4552, 2321]"
162,162,Cát Tiên,117,13,5,0,14.95,"[4931, 789, 3589, 3905, 2964]"
163,163,Lạc Dương,110,11,8,1,10.1,"[516, 3039, 1540, 1002, 1083]"
164,164,Bảo Lộc,169,7,11,0,13.78,"[3647, 2716, 3172, 2314, 2338]"
165,165,Cát Tiên,113,11,5,0,2.93,"[4907, 2810, 1828, 1548, 305]"
166,166,Bảo Lâm,66,15,9,0,1.15,"[2417, 3451, 43, 3693, 999]"
167,167,Bảo Lộc,100,8,15,1,14.97,"[26, 242, 831, 1500, 4765]"
168,168,Đà Lạt,113,6,7,0,12.78,"[1112, 180, 2102, 1986, 295]"
169,169,Đức Trọng,188,9,5,0,8.17,"[1018, 422, 3430, 2961, 4005]"
170,170,Đạ Huoai,154,8,13,0,3.4,"[1113, 4591, 1675, 186, 4586]"
171,171,Bảo Lâm,121,12,6,0,2.41,"[2833, 3369, 2032, 2701, 2243]"
172,172,Đam Rông,96,13,15,0,8.52,"[2, 2660, 2216, 2939, 4320]"
173,173,Di Linh,155,6,13,0,2.15,"[2551, 4300, 4338, 1168, 792]"
174,174,Lạc Dương,149,8,5,0,5.1,"[3070, 3026, 4724, 1129, 487]"
175,175,Đạ Tẻh,68,11,10,0,4.33,"[3557, 2722, 4271, 1442, 1152]"
176,176,Bảo Lâm,229,9,8,0,1.38,"[4691, 1579, 4232, 4942, 4553]"
177,177,Cát Tiên,116,6,13,0,0.87,"[718, 1330, 4708, 3503, 1127]"
178,178,Đà Lạt,148,12,6,1,4.61,"[1080, 2218, 1111, 219, 2231]"
179,179,Đạ Tẻh,143,14,14,0,1.83,"[2629, 474, 1875, 2918, 902]"
180,180,Đà Lạt,115,5,5,0,13.13,"[1112, 168, 1986, 1122, 1208]"
181,181,Đạ Huoai,120,7,13,0,10.48,"[4891, 3050, 4579, 2169, 75]"
182,182,Đam Rông,224,8,11,0,12.57,"[2750, 4072, 4836, 137, 145]"
183,183,Đà Lạt,231,7,11,0,5.07,"[3032, 4772, 1147, 4701, 3866]"
184,184,Đà Lạt,228,14,9,1,13.61,"[3596, 430, 3917, 3183, 3919]"
185,185,Đạ Tẻh,57,5,9,0,3.94,"[3879, 3220, 2004, 3586, 2722]"
186,186,Đạ Huoai,212,8,14,0,3.52,"[255, 1113, 170, 3918, 1591]"
187,187,Đạ Tẻh,183,15,6,0,0.88,"[4678, 4861, 3240, 3706, 1803]"
188,188,Đức Trọng,240,7,13,0,9.63,"[3257, 402, 750, 80, 946]"
189,189,Lâm Hà,182,8,10,1,2.75,"[232, 2189, 3519, 3704, 3737]"
190,190,Đà Lạt,86,11,5,1,12.69,"[17, 292, 1187, 3823, 3867]"
191,191,Di Linh,208,13,11,0,4.51,"[225, 2910, 2182, 4543, 4567]"
192,192,Đam Rông,122,14,9,0,14.08,"[3988, 428, 3266, 2923, 3909]"
193,193,Lạc Dương,83,8,9,1,3.18,"[1249, 1792, 692, 1163, 2208]"
194,194,Lâm Hà,51,6,15,1,6.67,"[1731, 684, 848, 71, 1475]"
195,195,Cát Tiên,113,9,12,1,13.5,"[4538, 1326, 4828, 4134, 2421]"
196,196,Đà Lạt,107,12,7,0,7.86,"[1936, 293, 3609, 4601, 1698]"
197,197,Đơn Dương,194,15,6,0,14.89,"[4865, 3747, 2432, 4255, 4837]"
198,198,Di Linh,194,15,6,0,2.19,"[4649, 768, 3202, 4567, 2284]"
199,199,Đức Trọng,105,8,11,0,4.87,"[2389, 3874, 3478, 3882, 2924]"
200,200,Đạ Huoai,200,8,5,1,13.16,"[1930, 4215, 1390, 679, 4168]"
201,201,Đạ Huoai,132,13,12,0,6.57,"[4122, 4207, 2186, 1224, 3125]"
202,202,Đạ Tẻh,80,15,7,1,9.77,"[4406, 1973, 2235, 1189, 3702]"
203,203,Di Linh,134,11,11,0,12.15,"[2237, 4257, 92, 79, 612]"
204,204,Lạc Dương,236,6,8,1,13.45,"[1310, 4933, 1884, 4167, 2427]"
205,205,Đạ Tẻh,222,7,11,1,12.57,"[2369, 1386, 3920, 3365, 1395]"
206,206,Đam Rông,98,8,5,0,1.54,"[4437, 1367, 4184, 3242, 2656]"
207,207,Lâm Hà,170,13,8,1,3.87,"[2607, 4709, 420, 3408, 1041]"
208,208,Lạc Dương,124,6,13,1,4.67,"[614, 3246, 453, 212, 2717]"
209,209,Cát Tiên,220,9,14,1,1.32,"[736, 904, 2885, 1596, 3241]"
210,210,Cát Tiên,206,13,8,1,6.15,"[607, 4322, 2720, 3473, 1866]"
211,211,Bảo Lộc,82,9,9,0,8.78,"[910, 883, 4740, 3599, 4644]"
212,212,Lạc Dương,91,7,14,1,4.19,"[453, 208, 2637, 3246, 3607]"
213,213,Bảo Lộc,128,15,12,0,5.57,"[2655, 2818, 2228, 966, 974]"
214,214,Lạc Dương,57,6,10,1,8.5,"[3062, 2504, 4492, 1699, 275]"
215,215,Đơn Dương,153,9,9,0,4.21,"[880, 1797, 832, 1793, 2274]"
216,216,Đạ Huoai,77,13,6,1,12.79,"[3976, 890, 4200, 3468, 483]"
217,217,Đạ Tẻh,118,9,10,0,14.18,"[258, 4251, 4876, 3549, 582]"
218,218,Cát Tiên,212,6,9,0,10.76,"[1895, 798, 4889, 3748, 3836]"
219,219,Đà Lạt,138,10,7,1,6.06,"[1111, 3069, 2481, 2218, 178]"
220,220,Bảo Lộc,199,10,8,0,10.53,"[4515, 2338, 1533, 3325, 2378]"
221,221,Bảo Lộc,86,7,11,0,14.15,"[265, 4574, 1084, 2082, 610]"
222,222,Đức Trọng,230,9,14,0,1.02,"[3520, 2754, 2702, 2725, 2350]"
223,223,Đạ Tẻh,191,8,7,0,1.23,"[1203, 618, 2434, 1432, 3831]"
224,224,Di Linh,94,7,8,1,14.47,"[3175, 1854, 1609, 3675, 2187]"
225,225,Di Linh,214,13,11,0,6.95,"[191, 3947, 2905, 508, 1472]"
226,226,Đà Lạt,207,8,6,1,11.99,"[2763, 1265, 3901, 482, 1337]"
227,227,Đam Rông,131,13,14,1,5.05,"[1046, 2976, 3592, 3368, 3605]"
228,228,Lâm Hà,58,9,8,0,5.92,"[466, 1569, 1582, 776, 1830]"
229,229,Đà Lạt,79,5,11,0,1.9,"[1547, 4827, 2948, 3927, 4413]"
230,230,Đà Lạt,65,8,7,0,2.96,"[4710, 896, 1452, 4415, 2160]"
231,231,Bảo Lâm,211,11,10,0,12.52,"[1652, 3894, 1212, 3221, 1295]"
232,232,Lâm Hà,173,9,11,1,2.06,"[189, 2189, 3704, 1371, 3977]"
233,233,Bảo Lâm,233,13,15,0,11.24,"[3612, 3308, 1032, 1295, 1538]"
234,234,Lâm Hà,173,12,6,0,8.92,"[4801, 342, 3625, 1925, 3400]"
235,235,Đạ Huoai,62,13,12,0,6.93,"[4130, 4122, 4026, 1224, 491]"
236,236,Đà Lạt,213,10,9,0,11.38,"[2589, 3563, 2115, 1525, 3697]"
237,237,Đà Lạt,156,14,5,0,13.32,"[4705, 4423, 1846, 4866, 1698]"
238,238,Cát Tiên,61,15,14,1,7.9,"[3466, 2319, 2937, 4793, 416]"
239,239,Di Linh,74,13,15,1,14.03,"[1556, 1567, 299, 2727, 1293]"
240,240,Đam Rông,70,12,12,0,11.62,"[2796, 259, 159, 1218, 4533]"
241,241,Đơn Dương,122,13,10,0,5.4,"[844, 2707, 2896, 3284, 4010]"
242,242,Bảo Lộc,93,11,14,1,13.04,"[3816, 1500, 831, 1470, 965]"
243,243,Đam Rông,217,6,14,1,12.41,"[4328, 4706, 2751, 1261, 3569]"
244,244,Đạ Tẻh,104,8,10,1,5.13,"[788, 4732, 2522, 4679, 1664]"
245,245,Đạ Tẻh,209,7,6,1,7.27,"[3660, 4396, 2020, 4612, 2654]"
246,246,Lạc Dương,71,15,15,0,13.37,"[4298, 2411, 3100, 1738, 1712]"
247,247,Cát Tiên,157,6,14,0,5.31,"[2069, 1330, 3288, 1127, 4285]"
248,248,Cát Tiên,86,11,15,1,6.44,"[2937, 1098, 416, 864, 3330]"
249,249,Di Linh,206,9,14,0,3.4,"[3504, 2013, 3452, 3639, 1089]"
250,250,Cát Tiên,197,6,10,1,3.94,"[4957, 721, 3907, 4912, 2311]"
251,251,Đức Trọng,195,8,13,0,13.13,"[3024, 3078, 1972, 80, 3257]"
252,252,Đức Trọng,160,10,7,1,10.83,"[813, 77, 4840, 2111, 355]"
253,253,Lâm Hà,162,11,6,1,7.96,"[3089, 1318, 1915, 3738, 934]"
254,254,Di Linh,232,6,8,0,3.05,"[4487, 133, 669, 3416, 2005]"
255,255,Đạ Huoai,195,9,15,0,5.23,"[3918, 186, 1740, 1675, 1591]"
256,256,Bảo Lâm,239,15,11,1,13.29,"[3539, 4450, 2775, 4863, 2856]"
257,257,Bảo Lâm,73,15,10,0,12.89,"[2515, 157, 4699, 1451, 2771]"
258,258,Đạ Tẻh,139,9,10,0,12.57,"[217, 4251, 582, 3549, 4876]"
259,259,Đam Rông,62,11,12,0,8.7,"[401, 240, 850, 2660, 3401]"
260,260,Đà Lạt,114,12,11,1,11.79,"[1405, 2357, 1253, 349, 4552]"
261,261,Di Linh,122,13,7,0,4.07,"[2339, 3002, 4623, 3022, 1701]"
262,262,Đà Lạt,211,14,14,1,13.1,"[577, 3919, 4244, 4049, 1232]"
263,263,Đạ Tẻh,81,12,8,0,14.72,"[1510, 3351, 1416, 702, 1160]"
264,264,Đạ Huoai,237,10,7,0,13.71,"[3480, 3787, 4231, 2957, 382]"
265,265,Bảo Lộc,92,6,10,0,14.88,"[3522, 221, 1048, 3037, 2082]"
266,266,Bảo Lâm,176,9,15,1,5.0,"[3339, 3936, 2863, 3152, 3276]"
267,267,Cát Tiên,182,11,13,1,8.65,"[662, 2286, 4506, 1903, 3346]"
268,268,Di Linh,156,5,10,0,14.87,"[3012, 3044, 1737, 1578, 3353]"
269,269,Di Linh,135,15,6,0,14.06,"[561, 2096, 1020, 2747, 3849]"
270,270,Lạc Dương,70,6,11,0,11.05,"[2871, 1234, 4467, 2801, 4083]"
271,271,Bảo Lâm,159,8,11,1,12.73,"[3421, 3912, 3800, 4600, 3048]"
272,272,Đam Rông,181,11,7,0,12.69,"[1900, 1658, 857, 3266, 3772]"
273,273,Đức Trọng,245,13,8,1,2.58,"[694, 1352, 1996, 4445, 3014]"
274,274,Đam Rông,83,10,7,1,13.81,"[1284, 775, 4603, 2316, 2465]"
275,275,Lạc Dương,94,5,9,1,8.91,"[1699, 1918, 214, 2271, 2504]"
276,276,Đạ Huoai,231,11,10,1,11.61,"[608, 1379, 4748, 4490, 4977]"
277,277,Đạ Tẻh,206,7,11,1,6.46,"[2835, 1145, 3155, 4456, 2912]"
278,278,Đạ Tẻh,120,12,9,0,1.01,"[4271, 2202, 3706, 4213, 3853]"
279,279,Đức Trọng,234,8,5,1,8.11,"[652, 1612, 1151, 3970, 3244]"
280,280,Đạ Huoai,196,8,5,0,12.27,"[1308, 738, 1071, 4231, 3259]"
281,281,Đạ Tẻh,55,9,11,0,11.25,"[1819, 4876, 1782, 2164, 4330]"
282,282,Lâm Hà,175,13,6,0,13.92,"[3962, 4873, 1242, 3625, 2016]"
283,283,Di Linh,127,6,13,1,3.05,"[1800, 4421, 1195, 3667, 4774]"
284,284,Bảo Lộc,207,12,12,0,8.8,"[3182, 3426, 1555, 1431, 156]"
285,285,Đạ Tẻh,74,6,7,1,12.16,"[477, 2019, 810, 1677, 786]"
286,286,Bảo Lâm,81,10,15,1,5.85,"[4482, 3152, 3946, 4684, 4944]"
287,287,Đà Lạt,186,8,5,0,13.35,"[597, 2567, 2847, 1525, 1161]"
288,288,Đam Rông,232,13,10,0,7.53,"[3145, 4590, 1550, 950, 4893]"
289,289,Đam Rông,81,11,12,0,3.1,"[461, 861, 4058, 2084, 1628]"
290,290,Đà Lạt,161,6,10,1,3.41,"[2860, 2539, 3810, 4512, 837]"
291,291,Đạ Huoai,96,13,9,0,12.52,"[3343, 4566, 3760, 4847, 734]"
292,292,Đà Lạt,79,9,5,1,13.07,"[3867, 17, 190, 3506, 4438]"
293,293,Đà Lạt,118,13,6,0,7.2,"[196, 945, 1936, 1698, 1303]"
294,294,Bảo Lộc,117,10,14,0,11.0,"[1532, 403, 2792, 676, 2028]"
295,295,Đà Lạt,109,7,7,0,9.32,"[2493, 4195, 1770, 3518, 168]"
296,296,Lâm Hà,118,10,9,0,5.01,"[3423, 1503, 3051, 466, 2055]"
297,297,Đức Trọng,115,13,5,1,1.46,"[4677, 1369, 680, 3194, 3105]"
298,298,Lạc Dương,186,6,15,0,9.81,"[1666, 2814, 1530, 1321, 3228]"
299,299,Di Linh,116,14,14,1,13.11,"[1556, 1293, 239, 2052, 4029]"
300,300,Đạ Huoai,144,14,14,0,2.42,"[1646, 3125, 1992, 2768, 3179]"
