id,region,area_by_m2,width_of_facade,width_of_road,is_legal,price
00350,Đạ Huoai,55,9,10,1,3.86
00351,Đam Rông,238,5,8,0,1.91
00352,Đức Trọng,145,11,6,1,7.11
00353,Cát Tiên,62,15,15,1,3.23
00354,Đà Lạt,57,10,7,1,7.73
00355,Đức Trọng,152,10,5,1,12.71
00356,Bảo Lộc,141,12,12,1,9.03
00357,Đạ Tẻh,52,14,14,0,9.36
00358,Đạ Tẻh,177,5,6,0,8.86
00359,Đà Lạt,121,12,11,1,2.98
00360,Đạ Huoai,178,14,11,1,7.31
00361,Bảo Lâm,181,12,10,1,1.01
00362,Lạc Dương,73,6,7,0,12.04
00363,Lâm Hà,169,5,7,0,10.68
00364,Bảo Lâm,111,11,15,1,0.96
00365,Cát Tiên,124,10,6,1,8.69
00366,Bảo Lộc,192,10,10,1,13.52
00367,Cát Tiên,183,14,15,0,10.57
00368,Đam Rông,217,13,9,1,3.36
00369,Đam Rông,136,10,5,0,9.73
00370,Đơn Dương,154,15,8,1,14.21
00371,Cát Tiên,233,9,10,0,10.11
00372,Bảo Lâm,248,12,12,1,4.89
00373,Đạ Huoai,243,11,6,0,8.91
00374,Đạ Huoai,250,8,8,1,11.18
00375,Đức Trọng,137,10,9,0,8.39
00376,Di Linh,74,7,11,0,12.13
00377,Đạ Huoai,197,13,14,1,9.6
00378,Bảo Lâm,221,12,14,1,3.3
00379,Lâm Hà,190,10,5,1,14.89
00380,Đơn Dương,103,5,14,1,8.56
00381,Đạ Tẻh,155,9,15,1,7.42
00382,Đạ Huoai,201,12,9,0,12.84
00383,Lâm Hà,75,8,5,1,2.29
00384,Lạc Dương,176,6,7,1,4.59
00385,Đức Trọng,114,13,11,0,7.6
00386,Đức Trọng,135,6,14,0,7.08
00387,Đơn Dương,166,14,11,1,8.4
00388,Đam Rông,101,13,15,1,10.65
00389,Đà Lạt,87,8,15,1,2.64
00390,Đơn Dương,169,10,11,0,9.86
00391,Đức Trọng,161,5,10,0,4.04
00392,Cát Tiên,216,5,8,1,13.42
00393,Bảo Lâm,157,10,13,0,13.12
00394,Đơn Dương,229,13,13,1,8.88
00395,Bảo Lâm,167,10,14,1,14.73
00396,Cát Tiên,141,6,13,0,11.1
00397,Đơn Dương,103,6,5,1,7.0
00398,Đà Lạt,96,15,13,0,5.47
00399,Đạ Huoai,87,9,10,1,10.87
00400,Bảo Lâm,196,6,12,0,12.77
00401,Đam Rông,86,12,11,0,6.83
00402,Đức Trọng,207,8,13,0,8.94
00403,Bảo Lộc,113,10,15,0,8.31
00404,Bảo Lộc,99,10,8,0,3.54
00405,Di Linh,183,12,14,0,8.86
00406,Lạc Dương,243,5,8,0,0.98
00407,Đạ Tẻh,243,8,12,0,1.02
00408,Đức Trọng,146,14,8,0,8.4
00409,Bảo Lộc,154,11,11,0,12.57
00410,Lâm Hà,57,6,9,1,2.13
00411,Lạc Dương,63,10,6,1,7.69
00412,Đạ Tẻh,245,15,11,1,7.67
00413,Lâm Hà,195,6,9,0,13.04
00414,Di Linh,133,9,10,1,6.86
00415,Bảo Lộc,58,13,15,0,1.13
00416,Cát Tiên,112,14,14,1,5.01
00417,Đức Trọng,181,12,7,1,6.34
00418,Lâm Hà,222,5,13,1,14.73
00419,Đạ Huoai,236,15,7,0,14.65
00420,Lâm Hà,201,12,9,1,1.89
00421,Di Linh,147,9,5,0,1.86
00422,Đức Trọng,186,10,6,0,9.75
00423,Bảo Lộc,147,13,13,1,8.21
00424,Đơn Dương,183,8,13,0,9.79
00425,Bảo Lâm,184,8,12,1,6.03
00426,Bảo Lộc,245,6,8,0,0.83
00427,Đạ Tẻh,121,15,8,0,6.92
00428,Đam Rông,126,14,7,0,12.48
00429,Đam Rông,247,14,11,1,4.48
00430,Đà Lạt,184,13,8,1,12.62
00431,Đạ Huoai,153,15,8,1,7.85
00432,Cát Tiên,93,11,5,1,7.85
00433,Lâm Hà,123,8,15,0,7.83
00434,Đơn Dương,240,10,10,1,9.57
00435,Lâm Hà,139,9,9,0,11.54
00436,Đơn Dương,164,14,12,0,6.88
00437,Đơn Dương,186,9,12,1,14.82
00438,Di Linh,249,14,8,1,13.89
00439,Đà Lạt,172,11,15,0,12.51
00440,Lạc Dương,114,7,11,0,4.19
00441,Lạc Dương,228,11,10,0,14.62
00442,Đạ Tẻh,204,12,6,1,7.85
00443,Di Linh,193,6,12,1,3.56
00444,Đức Trọng,176,15,12,1,6.71
00445,Di Linh,131,13,15,1,6.18
00446,Đam Rông,142,11,14,0,2.59
00447,Đơn Dương,116,8,10,1,5.47
00448,Đạ Tẻh,112,6,15,0,11.33
00449,Đạ Tẻh,67,5,10,1,13.04
00450,Di Linh,224,5,11,1,14.43
00451,Lâm Hà,81,14,15,1,9.16
00452,Bảo Lộc,121,9,10,1,10.43
00453,Lạc Dương,81,6,13,1,4.8
00454,Lạc Dương,95,14,6,0,4.07
00455,Đức Trọng,61,10,5,1,3.52
00456,Di Linh,208,12,14,1,3.93
00457,Đam Rông,141,10,12,1,14.56
00458,Bảo Lộc,66,12,14,1,2.04
00459,Đơn Dương,149,12,10,1,3.56
00460,Di Linh,65,12,11,1,7.57
00461,Đam Rông,99,11,14,0,3.66
00462,Đạ Huoai,137,14,6,0,13.41
00463,Đức Trọng,149,14,13,0,3.32
00464,Lạc Dương,138,10,15,0,6.87
00465,Đạ Huoai,105,10,7,0,2.78
00466,Lâm Hà,91,8,9,0,7.01
00467,Cát Tiên,160,15,7,0,8.63
00468,Đạ Tẻh,92,15,14,1,9.4
00469,Đam Rông,120,15,5,0,4.31
00470,Đạ Tẻh,139,11,9,0,10.62
00471,Lạc Dương,121,15,14,1,5.59
00472,Đà Lạt,65,15,9,0,12.6
00473,Đơn Dương,85,9,5,1,13.07
00474,Đạ Tẻh,150,15,12,0,1.04
00475,Bảo Lộc,76,7,7,1,8.44
00476,Đạ Tẻh,130,7,8,0,9.96
00477,Đạ Tẻh,100,6,7,1,11.39
00478,Lâm Hà,80,6,15,0,13.12
00479,Bảo Lộc,211,13,5,1,9.59
00480,Cát Tiên,67,11,5,1,12.24
00481,Đà Lạt,198,9,8,1,4.87
00482,Đà Lạt,188,9,9,1,12.5
00483,Đạ Huoai,144,14,8,1,12.46
00484,Bảo Lâm,131,11,14,0,1.02
00485,Đam Rông,81,11,5,1,2.01
00486,Cát Tiên,75,6,14,0,8.36
00487,Lạc Dương,111,8,7,0,6.76
00488,Đơn Dương,56,8,14,1,7.92
00489,Đạ Huoai,112,14,10,1,3.62
00490,Đà Lạt,108,6,14,1,11.48
00491,Đạ Huoai,83,13,12,0,2.56
00492,Lạc Dương,162,15,8,0,7.31
00493,Bảo Lâm,222,6,8,0,3.74
00494,Lâm Hà,249,8,12,1,14.89
00495,Đam Rông,61,10,5,0,12.05
00496,Đơn Dương,145,11,5,1,10.42
00497,Đam Rông,107,9,10,1,12.94
00498,Lạc Dương,209,5,13,1,7.16
00499,Đạ Tẻh,125,7,6,0,2.83
00500,Đạ Huoai,169,7,5,1,10.55
00501,Đức Trọng,203,11,10,1,12.02
00502,Đơn Dương,196,5,10,0,11.16
00503,Bảo Lộc,112,10,6,0,6.81
00504,Đạ Tẻh,110,12,8,0,6.19
00505,Lâm Hà,151,14,13,1,3.47
00506,Lạc Dương,124,6,9,0,13.19
00507,Đạ Huoai,211,13,8,0,5.76
00508,Di Linh,237,15,12,0,8.07
00509,Cát Tiên,58,9,10,1,12.95
00510,Đam Rông,203,15,6,1,14.53
00511,Đạ Tẻh,199,7,13,0,8.59
00512,Đức Trọng,111,8,6,0,2.59
00513,Đức Trọng,64,6,14,0,9.79
00514,Đức Trọng,168,13,6,1,10.19
00515,Bảo Lộc,121,10,7,1,4.63
00516,Lạc Dương,85,11,8,1,9.27
00517,Đà Lạt,72,12,6,1,1.98
00518,Đạ Tẻh,220,7,10,0,8.19
00519,Đơn Dương,240,14,10,0,5.12
00520,Đam Rông,71,6,10,0,12.65
00521,Đam Rông,214,13,5,0,2.48
00522,Lạc Dương,101,9,7,1,9.55
00523,Đạ Tẻh,135,7,8,0,9.53
00524,Bảo Lộc,236,8,12,1,9.17
00525,Bảo Lâm,164,11,6,1,14.85
00526,Cát Tiên,158,14,15,1,14.02
00527,Bảo Lâm,60,7,8,1,1.77
00528,Đam Rông,83,5,11,0,3.86
00529,Lâm Hà,67,11,6,1,7.33
00530,Đam Rông,217,12,15,1,3.46
00531,Cát Tiên,135,15,12,0,10.37
00532,Đam Rông,177,7,14,0,11.45
00533,Đam Rông,127,13,9,0,8.08
00534,Đức Trọng,85,10,8,1,6.48
00535,Bảo Lộc,120,14,11,1,8.23
00536,Đam Rông,207,14,9,1,6.63
00537,Lâm Hà,206,8,15,1,9.39
00538,Đức Trọng,180,12,15,0,3.81
00539,Lạc Dương,206,11,12,0,8.86
00540,Bảo Lộc,178,10,9,1,13.27
00541,Đạ Huoai,170,5,5,1,3.34
00542,Đạ Tẻh,99,14,14,1,3.81
00543,Lạc Dương,188,9,9,0,4.44
00544,Đơn Dương,193,7,5,1,14.45
00545,Đạ Tẻh,52,12,5,1,13.68
00546,Cát Tiên,159,14,5,0,2.6
00547,Đạ Tẻh,233,11,7,1,5.82
00548,Lạc Dương,178,14,12,1,10.42
00549,Đam Rông,158,5,9,1,8.98
00550,Đạ Huoai,79,9,9,0,10.06
00551,Đạ Huoai,142,11,11,1,5.9
00552,Đạ Tẻh,91,10,7,0,6.88
00553,Di Linh,72,10,12,1,13.34
00554,Đơn Dương,109,10,12,0,10.57
00555,Đức Trọng,198,7,7,0,4.96
00556,Lạc Dương,69,12,15,0,2.63
00557,Đam Rông,112,8,14,0,10.99
00558,Đơn Dương,211,10,7,0,8.3
00559,Đơn Dương,121,7,15,1,11.98
00560,Đam Rông,217,8,12,1,11.17
00561,Di Linh,146,15,6,0,14.5
00562,Lâm Hà,137,5,12,0,6.44
00563,Đức Trọng,153,14,10,1,10.11
00564,Đơn Dương,210,10,14,1,2.21
00565,Lạc Dương,61,14,5,1,5.5
00566,Đà Lạt,78,12,7,1,1.16
00567,Lâm Hà,220,12,12,0,14.13
00568,Lạc Dương,204,12,6,1,7.82
00569,Lâm Hà,146,5,5,1,5.57
00570,Lạc Dương,162,14,11,1,14.51
00571,Đơn Dương,72,9,12,0,8.42
00572,Đức Trọng,147,10,11,1,6.84
00573,Bảo Lộc,168,15,13,0,13.98
00574,Lâm Hà,234,15,5,1,11.11
00575,Đơn Dương,58,13,12,0,10.32
00576,Lạc Dương,76,10,9,0,9.48
00577,Đà Lạt,199,13,13,1,12.74
00578,Cát Tiên,158,13,5,0,4.96
00579,Đà Lạt,193,15,15,0,4.01
00580,Đạ Huoai,51,7,12,0,9.48
00581,Đức Trọng,95,6,9,0,3.29
00582,Đạ Tẻh,166,10,11,0,13.0
00583,Đạ Tẻh,208,12,13,1,5.43
00584,Cát Tiên,240,7,15,0,9.95
00585,Đức Trọng,56,6,14,0,2.64
00586,Bảo Lộc,204,11,9,1,11.66
00587,Lạc Dương,85,14,9,0,13.2
00588,Đơn Dương,104,12,7,1,6.45
00589,Di Linh,180,6,9,1,9.55
00590,Bảo Lâm,103,10,11,0,13.46
00591,Bảo Lâm,217,7,6,0,13.98
00592,Đà Lạt,163,11,14,1,7.94
00593,Lâm Hà,245,14,15,0,8.77
00594,Đơn Dương,92,15,15,1,2.95
00595,Đơn Dương,139,13,8,1,1.14
00596,Đức Trọng,118,13,14,1,15.0
00597,Đà Lạt,171,9,6,0,14.06
00598,Lâm Hà,139,9,14,1,7.65
00599,Đam Rông,114,15,8,1,14.16
